date,state,disease,value
2025-10-04T00:00:00.000,Alabama,COVID-19,86.0
2025-10-04T00:00:00.000,Alabama,Influenza,21.0
2025-10-04T00:00:00.000,Alabama,value,86.0
2025-10-11T00:00:00.000,Alabama,COVID-19,68.0
2025-10-11T00:00:00.000,Alabama,Influenza,14.0
2025-10-11T00:00:00.000,Alabama,value,68.0
2025-10-18T00:00:00.000,Alabama,COVID-19,71.0
2025-10-18T00:00:00.000,Alabama,Influenza,12.0
2025-10-18T00:00:00.000,Alabama,value,71.0
2025-10-25T00:00:00.000,Alabama,COVID-19,49.0
2025-10-25T00:00:00.000,Alabama,Influenza,11.0
2025-10-25T00:00:00.000,Alabama,value,49.0
2025-11-01T00:00:00.000,Alabama,COVID-19,51.0
2025-11-01T00:00:00.000,Alabama,Influenza,15.0
2025-11-01T00:00:00.000,Alabama,value,51.0
2025-11-08T00:00:00.000,Alabama,COVID-19,45.0
2025-11-08T00:00:00.000,Alabama,Influenza,18.0
2025-11-08T00:00:00.000,Alabama,value,45.0
2025-11-15T00:00:00.000,Alabama,COVID-19,54.0
2025-11-15T00:00:00.000,Alabama,Influenza,31.0
2025-11-15T00:00:00.000,Alabama,value,54.0
2025-11-22T00:00:00.000,Alabama,COVID-19,60.0
2025-11-22T00:00:00.000,Alabama,Influenza,37.0
2025-11-22T00:00:00.000,Alabama,value,60.0
2025-11-29T00:00:00.000,Alabama,COVID-19,55.0
2025-11-29T00:00:00.000,Alabama,Influenza,46.0
2025-11-29T00:00:00.000,Alabama,value,55.0
2025-12-06T00:00:00.000,Alabama,COVID-19,61.0
2025-12-06T00:00:00.000,Alabama,Influenza,67.0
2025-12-06T00:00:00.000,Alabama,value,61.0
2025-12-13T00:00:00.000,Alabama,COVID-19,74.0
2025-12-13T00:00:00.000,Alabama,Influenza,104.0
2025-12-13T00:00:00.000,Alabama,value,74.0
2025-12-20T00:00:00.000,Alabama,COVID-19,92.0
2025-12-20T00:00:00.000,Alabama,Influenza,275.0
2025-12-20T00:00:00.000,Alabama,value,92.0
2025-12-27T00:00:00.000,Alabama,COVID-19,107.0
2025-12-27T00:00:00.000,Alabama,Influenza,498.0
2025-12-27T00:00:00.000,Alabama,value,107.0
2026-01-03T00:00:00.000,Alabama,COVID-19,145.0
2026-01-03T00:00:00.000,Alabama,Influenza,495.0
2026-01-03T00:00:00.000,Alabama,value,145.0
2026-01-10T00:00:00.000,Alabama,COVID-19,116.0
2026-01-10T00:00:00.000,Alabama,Influenza,313.0
2026-01-10T00:00:00.000,Alabama,value,116.0
2026-01-17T00:00:00.000,Alabama,COVID-19,140.0
2026-01-17T00:00:00.000,Alabama,Influenza,206.0
2026-01-17T00:00:00.000,Alabama,value,140.0
2026-01-24T00:00:00.000,Alabama,COVID-19,105.0
2026-01-24T00:00:00.000,Alabama,Influenza,248.0
2026-01-24T00:00:00.000,Alabama,value,105.0
2026-01-31T00:00:00.000,Alabama,COVID-19,110.0
2026-01-31T00:00:00.000,Alabama,Influenza,261.0
2026-01-31T00:00:00.000,Alabama,value,110.0
2026-02-07T00:00:00.000,Alabama,COVID-19,106.0
2026-02-07T00:00:00.000,Alabama,Influenza,349.0
2026-02-07T00:00:00.000,Alabama,value,106.0
2024-10-05T00:00:00.000,NA,COVID-19,NA
2024-10-05T00:00:00.000,NA,Influenza,NA
2024-10-05T00:00:00.000,NA,value,NA
2024-10-12T00:00:00.000,NA,COVID-19,NA
2024-10-12T00:00:00.000,NA,Influenza,NA
2024-10-12T00:00:00.000,NA,value,NA
2024-10-19T00:00:00.000,NA,COVID-19,NA
2024-10-19T00:00:00.000,NA,Influenza,NA
2024-10-19T00:00:00.000,NA,value,NA
2024-10-26T00:00:00.000,NA,COVID-19,0.0
2024-10-26T00:00:00.000,NA,Influenza,9.0
2024-10-26T00:00:00.000,NA,value,0.0
2024-11-02T00:00:00.000,NA,COVID-19,0.0
2024-11-02T00:00:00.000,NA,Influenza,6.0
2024-11-02T00:00:00.000,NA,value,0.0
