date,state,value
2024-09-18T07:00:00Z,Alabama,0.153
2024-09-18T07:00:00Z,Alaska,0.451
2024-09-18T07:00:00Z,Arizona,0.825
2024-09-18T07:00:00Z,Arkansas,0.0465
2024-09-18T07:00:00Z,California,0.8285
2024-09-18T07:00:00Z,Colorado,0.534
2024-09-18T07:00:00Z,Connecticut,0.2995
2024-09-18T07:00:00Z,Delaware,0.6835
2024-09-18T07:00:00Z,District of Columbia,0.3905
2024-09-18T07:00:00Z,Florida,0.069
2024-09-18T07:00:00Z,Georgia,0.0655
2024-09-18T07:00:00Z,Hawaii,0.2755
2024-09-18T07:00:00Z,Idaho,0.5815
2024-09-18T07:00:00Z,Illinois,0.0845
2024-09-18T07:00:00Z,Indiana,0.4045
2024-09-18T07:00:00Z,Iowa,0.1205
2024-09-18T07:00:00Z,Kansas,0.0965
2024-09-18T07:00:00Z,Kentucky,NA
2024-09-18T07:00:00Z,Louisiana,0.109
2024-09-18T07:00:00Z,Maine,0.174
2024-09-18T07:00:00Z,Maryland,NA
2024-09-18T07:00:00Z,Massachusetts,0.1495
2024-09-18T07:00:00Z,Michigan,0.192
2024-09-18T07:00:00Z,Minnesota,0.967
2024-09-18T07:00:00Z,Mississippi,0.2035
2024-09-18T07:00:00Z,Missouri,NA
2024-09-18T07:00:00Z,Montana,0.234
2024-09-18T07:00:00Z,Nebraska,0.537
2024-09-18T07:00:00Z,Nevada,0.632
2024-09-18T07:00:00Z,New Hampshire,0.0885
2024-09-18T07:00:00Z,New Jersey,0.132
2024-09-18T07:00:00Z,New Mexico,0.5435
2024-09-18T07:00:00Z,New York,0.2115
2024-09-18T07:00:00Z,North Carolina,0.038
2024-09-18T07:00:00Z,North Dakota,0.441
2024-09-18T07:00:00Z,Ohio,0.359
2024-09-18T07:00:00Z,Oklahoma,0.3475
2024-09-18T07:00:00Z,Oregon,0.14
2024-09-18T07:00:00Z,Pennsylvania,0.189
2024-09-18T07:00:00Z,Rhode Island,0.037
2024-09-18T07:00:00Z,South Carolina,0.28
2024-09-18T07:00:00Z,South Dakota,0.64
2024-09-18T07:00:00Z,Tennessee,0.1945
2024-09-18T07:00:00Z,Texas,0.696
2024-09-18T07:00:00Z,United States,0.2485
2024-09-18T07:00:00Z,Utah,0.6295
2024-09-18T07:00:00Z,Vermont,0.047
2024-09-18T07:00:00Z,Virginia,0.0965
2024-09-18T07:00:00Z,Washington,0.0345
2024-09-18T07:00:00Z,West Virginia,0.145
2024-09-18T07:00:00Z,Wisconsin,NA
2024-09-18T07:00:00Z,Wyoming,NA
2024-09-19T07:00:00Z,Alabama,0.153
2024-09-19T07:00:00Z,Alaska,0.451
2024-09-19T07:00:00Z,Arizona,0.825
2024-09-19T07:00:00Z,Arkansas,0.0465
2024-09-19T07:00:00Z,California,0.8285
2024-09-19T07:00:00Z,Colorado,0.534
2024-09-19T07:00:00Z,Connecticut,0.2995
2024-09-19T07:00:00Z,Delaware,0.6835
2024-09-19T07:00:00Z,District of Columbia,0.3905
2024-09-19T07:00:00Z,Florida,0.069
2024-09-19T07:00:00Z,Georgia,0.0655
2024-09-19T07:00:00Z,Hawaii,0.2755
2024-09-19T07:00:00Z,Idaho,0.5815
2024-09-19T07:00:00Z,Illinois,0.0845
2024-09-19T07:00:00Z,Indiana,0.4045
2024-09-19T07:00:00Z,Iowa,0.1205
2024-09-19T07:00:00Z,Kansas,0.0965
2024-09-19T07:00:00Z,Kentucky,NA
2024-09-19T07:00:00Z,Louisiana,0.109
2024-09-19T07:00:00Z,Maine,0.174
2024-09-19T07:00:00Z,Maryland,NA
2024-09-19T07:00:00Z,Massachusetts,0.1495
2024-09-19T07:00:00Z,Michigan,0.192
2024-09-19T07:00:00Z,Minnesota,0.967
2024-09-19T07:00:00Z,Mississippi,0.2035
2024-09-19T07:00:00Z,Missouri,NA
2024-09-19T07:00:00Z,Montana,0.234
2024-09-19T07:00:00Z,Nebraska,0.537
2024-09-19T07:00:00Z,Nevada,0.632
2024-09-19T07:00:00Z,New Hampshire,0.0885
2024-09-19T07:00:00Z,New Jersey,0.132
2024-09-19T07:00:00Z,New Mexico,0.5435
2024-09-19T07:00:00Z,New York,0.2115
2024-09-19T07:00:00Z,North Carolina,0.038
2024-09-19T07:00:00Z,North Dakota,0.441
2024-09-19T07:00:00Z,Ohio,0.359
2024-09-19T07:00:00Z,Oklahoma,0.3475
2024-09-19T07:00:00Z,Oregon,0.14
2024-09-19T07:00:00Z,Pennsylvania,0.189
2024-09-19T07:00:00Z,Rhode Island,0.037
2024-09-19T07:00:00Z,South Carolina,0.28
2024-09-19T07:00:00Z,South Dakota,0.64
2024-09-19T07:00:00Z,Tennessee,0.1945
2024-09-19T07:00:00Z,Texas,0.696
2024-09-19T07:00:00Z,United States,0.2485
2024-09-19T07:00:00Z,Utah,0.6295
2024-09-19T07:00:00Z,Vermont,0.047
2024-09-19T07:00:00Z,Virginia,0.0965
2024-09-19T07:00:00Z,Washington,0.0345
2024-09-19T07:00:00Z,West Virginia,0.145
2024-09-19T07:00:00Z,Wisconsin,NA
2024-09-19T07:00:00Z,Wyoming,NA
2024-09-20T07:00:00Z,Alabama,0.153
2024-09-20T07:00:00Z,Alaska,0.451
2024-09-20T07:00:00Z,Arizona,0.825
2024-09-20T07:00:00Z,Arkansas,0.0465
2024-09-20T07:00:00Z,California,0.8285
2024-09-20T07:00:00Z,Colorado,0.534
2024-09-20T07:00:00Z,Connecticut,0.2995
2024-09-20T07:00:00Z,Delaware,0.6835
2024-09-20T07:00:00Z,District of Columbia,0.3905
2024-09-20T07:00:00Z,Florida,0.069
2024-09-20T07:00:00Z,Georgia,0.0655
