date,state,disease,value
2024-09-18,Alabama,COVID-19,0.9198
2024-09-18,Alabama,Influenza,1.0267
2024-09-18,Alaska,COVID-19,0.8057
2024-09-18,Alaska,Influenza,0.863
2024-09-18,Arizona,COVID-19,0.9389
2024-09-18,Arizona,Influenza,1.1694
2024-09-18,Arkansas,COVID-19,0.7927
2024-09-18,Arkansas,Influenza,0.9631
2024-09-18,California,COVID-19,0.8902
2024-09-18,California,Influenza,0.9957
2024-09-18,Colorado,COVID-19,0.9273
2024-09-18,Colorado,Influenza,1.0999
2024-09-18,Connecticut,COVID-19,0.8298
2024-09-18,Connecticut,Influenza,1.0979
2024-09-18,Delaware,COVID-19,0.8133
2024-09-18,Delaware,Influenza,NA
2024-09-18,District of Columbia,COVID-19,0.868
2024-09-18,District of Columbia,Influenza,NA
2024-09-18,Florida,COVID-19,0.7864
2024-09-18,Florida,Influenza,0.9962
2024-09-18,Georgia,COVID-19,0.7656
2024-09-18,Georgia,Influenza,0.9673
2024-09-18,Hawaii,COVID-19,0.8775
2024-09-18,Hawaii,Influenza,0.9278
2024-09-18,Idaho,COVID-19,0.8489
2024-09-18,Idaho,Influenza,NA
2024-09-18,Illinois,COVID-19,0.8316
2024-09-18,Illinois,Influenza,1.0769
2024-09-18,Indiana,COVID-19,0.8316
2024-09-18,Indiana,Influenza,1.0383
2024-09-18,Iowa,COVID-19,0.7978
2024-09-18,Iowa,Influenza,NA
2024-09-18,Kansas,COVID-19,0.9154
2024-09-18,Kansas,Influenza,0.9824
2024-09-18,Kentucky,COVID-19,NA
2024-09-18,Kentucky,Influenza,NA
2024-09-18,Louisiana,COVID-19,0.8237
2024-09-18,Louisiana,Influenza,0.9295
2024-09-18,Maine,COVID-19,0.8814
2024-09-18,Maine,Influenza,NA
2024-09-18,Maryland,COVID-19,NA
2024-09-18,Maryland,Influenza,NA
2024-09-18,Massachusetts,COVID-19,0.8563
2024-09-18,Massachusetts,Influenza,1.0803
2024-09-18,Michigan,COVID-19,0.82
2024-09-18,Michigan,Influenza,1.0007
2024-09-18,Minnesota,COVID-19,0.8648
2024-09-18,Minnesota,Influenza,0.9959
2024-09-18,Mississippi,COVID-19,0.845
2024-09-18,Mississippi,Influenza,1.0502
2024-09-18,Missouri,COVID-19,NA
2024-09-18,Missouri,Influenza,NA
2024-09-18,Montana,COVID-19,0.9197
2024-09-18,Montana,Influenza,NA
2024-09-18,Nebraska,COVID-19,0.8973
2024-09-18,Nebraska,Influenza,NA
2024-09-18,Nevada,COVID-19,0.8471
2024-09-18,Nevada,Influenza,1.0068
2024-09-18,New Hampshire,COVID-19,0.9413
2024-09-18,New Hampshire,Influenza,1.0382
2024-09-18,New Jersey,COVID-19,0.822
2024-09-18,New Jersey,Influenza,0.9963
2024-09-18,New Mexico,COVID-19,0.9727
2024-09-18,New Mexico,Influenza,1.0475
2024-09-18,New York,COVID-19,0.8122
2024-09-18,New York,Influenza,0.9299
2024-09-18,North Carolina,COVID-19,0.7746
2024-09-18,North Carolina,Influenza,0.9227
2024-09-18,North Dakota,COVID-19,0.9405
2024-09-18,North Dakota,Influenza,NA
2024-09-18,Ohio,COVID-19,0.7148
2024-09-18,Ohio,Influenza,0.9826
2024-09-18,Oklahoma,COVID-19,0.8812
2024-09-18,Oklahoma,Influenza,NA
2024-09-18,Oregon,COVID-19,0.8609
2024-09-18,Oregon,Influenza,1.0307
2024-09-18,Pennsylvania,COVID-19,0.7685
2024-09-18,Pennsylvania,Influenza,0.9988
2024-09-18,Rhode Island,COVID-19,0.9209
2024-09-18,Rhode Island,Influenza,NA
2024-09-18,South Carolina,COVID-19,0.7855
2024-09-18,South Carolina,Influenza,1.0443
2024-09-18,South Dakota,COVID-19,0.9008
2024-09-18,South Dakota,Influenza,NA
2024-09-18,Tennessee,COVID-19,0.8123
2024-09-18,Tennessee,Influenza,1.0282
2024-09-18,Texas,COVID-19,0.8274
2024-09-18,Texas,Influenza,0.9933
2024-09-18,United States,COVID-19,0.8769
2024-09-18,United States,Influenza,0.9838
2024-09-18,Utah,COVID-19,0.8672
2024-09-18,Utah,Influenza,1.0018
2024-09-18,Vermont,COVID-19,0.8906
2024-09-18,Vermont,Influenza,NA
2024-09-18,Virginia,COVID-19,0.7927
2024-09-18,Virginia,Influenza,1.0252
2024-09-18,Washington,COVID-19,0.8889
2024-09-18,Washington,Influenza,1.0497
2024-09-18,West Virginia,COVID-19,0.7686
2024-09-18,West Virginia,Influenza,1.0614
2024-09-18,Wisconsin,COVID-19,NA
2024-09-18,Wisconsin,Influenza,NA
2024-09-18,Wyoming,COVID-19,NA
2024-09-18,Wyoming,Influenza,NA
2024-09-19,Alabama,COVID-19,0.9212
2024-09-19,Alabama,Influenza,1.0267
2024-09-19,Alaska,COVID-19,0.8108
2024-09-19,Alaska,Influenza,0.8687
2024-09-19,Arizona,COVID-19,0.9402
2024-09-19,Arizona,Influenza,1.1698
2024-09-19,Arkansas,COVID-19,0.7983
2024-09-19,Arkansas,Influenza,0.963
2024-09-19,California,COVID-19,0.8921
2024-09-19,California,Influenza,0.9972
2024-09-19,Colorado,COVID-19,0.9281
2024-09-19,Colorado,Influenza,1.1013
2024-09-19,Connecticut,COVID-19,0.8352
2024-09-19,Connecticut,Influenza,1.0987
2024-09-19,Delaware,COVID-19,0.8153
2024-09-19,Delaware,Influenza,NA
2024-09-19,District of Columbia,COVID-19,0.868
2024-09-19,District of Columbia,Influenza,NA
2024-09-19,Florida,COVID-19,0.792
2024-09-19,Florida,Influenza,0.9961
2024-09-19,Georgia,COVID-19,0.7727
2024-09-19,Georgia,Influenza,0.9696
2024-09-19,Hawaii,COVID-19,0.8779
2024-09-19,Hawaii,Influenza,0.927
2024-09-19,Idaho,COVID-19,0.8502
2024-09-19,Idaho,Influenza,1.0454
2024-09-19,Illinois,COVID-19,0.8357
2024-09-19,Illinois,Influenza,1.0764
2024-09-19,Indiana,COVID-19,0.8364
2024-09-19,Indiana,Influenza,1.0381
2024-09-19,Iowa,COVID-19,0.8012
2024-09-19,Iowa,Influenza,NA
2024-09-19,Kansas,COVID-19,0.9157
2024-09-19,Kansas,Influenza,0.9826
2024-09-19,Kentucky,COVID-19,NA
2024-09-19,Kentucky,Influenza,NA
2024-09-19,Louisiana,COVID-19,0.8276
2024-09-19,Louisiana,Influenza,0.9324
2024-09-19,Maine,COVID-19,0.8839
2024-09-19,Maine,Influenza,NA
2024-09-19,Maryland,COVID-19,NA
2024-09-19,Maryland,Influenza,NA
2024-09-19,Massachusetts,COVID-19,0.8586
2024-09-19,Massachusetts,Influenza,1.0806
2024-09-19,Michigan,COVID-19,0.825
2024-09-19,Michigan,Influenza,1.0026
2024-09-19,Minnesota,COVID-19,0.8679
2024-09-19,Minnesota,Influenza,0.9957
2024-09-19,Mississippi,COVID-19,0.8486
2024-09-19,Mississippi,Influenza,1.0499
2024-09-19,Missouri,COVID-19,NA
2024-09-19,Missouri,Influenza,NA
2024-09-19,Montana,COVID-19,0.9192
2024-09-19,Montana,Influenza,NA
2024-09-19,Nebraska,COVID-19,0.8985
2024-09-19,Nebraska,Influenza,NA
2024-09-19,Nevada,COVID-19,0.8486
2024-09-19,Nevada,Influenza,1.0075
2024-09-19,New Hampshire,COVID-19,0.9414
2024-09-19,New Hampshire,Influenza,1.038
2024-09-19,New Jersey,COVID-19,0.8244
2024-09-19,New Jersey,Influenza,0.9956
2024-09-19,New Mexico,COVID-19,0.9734
2024-09-19,New Mexico,Influenza,1.0475
2024-09-19,New York,COVID-19,0.8162
2024-09-19,New York,Influenza,0.9334
2024-09-19,North Carolina,COVID-19,0.7805
2024-09-19,North Carolina,Influenza,0.9267
2024-09-19,North Dakota,COVID-19,0.9412
2024-09-19,North Dakota,Influenza,NA
2024-09-19,Ohio,COVID-19,0.725
2024-09-19,Ohio,Influenza,0.9856
2024-09-19,Oklahoma,COVID-19,0.8826
2024-09-19,Oklahoma,Influenza,NA
2024-09-19,Oregon,COVID-19,0.8619
2024-09-19,Oregon,Influenza,1.0325
2024-09-19,Pennsylvania,COVID-19,0.7757
2024-09-19,Pennsylvania,Influenza,1.0008
2024-09-19,Rhode Island,COVID-19,0.9214
2024-09-19,Rhode Island,Influenza,NA
2024-09-19,South Carolina,COVID-19,0.7909
2024-09-19,South Carolina,Influenza,1.044
2024-09-19,South Dakota,COVID-19,0.9019
2024-09-19,South Dakota,Influenza,NA
2024-09-19,Tennessee,COVID-19,0.8163
2024-09-19,Tennessee,Influenza,1.0286
2024-09-19,Texas,COVID-19,0.8318
2024-09-19,Texas,Influenza,0.9951
2024-09-19,United States,COVID-19,0.8774
2024-09-19,United States,Influenza,0.9856
2024-09-19,Utah,COVID-19,0.869
2024-09-19,Utah,Influenza,1.0018
2024-09-19,Vermont,COVID-19,0.8907
2024-09-19,Vermont,Influenza,NA
2024-09-19,Virginia,COVID-19,0.7984
2024-09-19,Virginia,Influenza,1.0252
2024-09-19,Washington,COVID-19,0.889
2024-09-19,Washington,Influenza,1.049
2024-09-19,West Virginia,COVID-19,0.773
2024-09-19,West Virginia,Influenza,1.0621
2024-09-19,Wisconsin,COVID-19,NA
2024-09-19,Wisconsin,Influenza,NA
2024-09-19,Wyoming,COVID-19,NA
2024-09-19,Wyoming,Influenza,NA
2024-09-20,Alabama,COVID-19,0.9222
2024-09-20,Alabama,Influenza,1.0266
2024-09-20,Alaska,COVID-19,0.8157
2024-09-20,Alaska,Influenza,0.8754
2024-09-20,Arizona,COVID-19,0.9417
