state,disease,date,value
Alabama,Flu,2020-01-01,52.29
Alabama,Flu,2020-02-01,68.87
Alabama,Flu,2020-03-01,79.92
Alabama,Flu,2020-04-01,80.17
Alabama,Flu,2020-05-01,89.25
Alabama,Flu,2020-06-01,66.52
Alabama,Flu,2020-07-01,87.58
Alabama,Flu,2020-08-01,47.65
Alabama,Flu,2020-09-01,61.39
Alabama,Flu,2020-10-01,70.92
Alabama,Flu,2020-11-01,73.62
Alabama,Flu,2020-12-01,46.89
Alabama,Flu,2021-01-01,71.71
Alabama,Flu,2021-02-01,78.7
Alabama,Flu,2021-03-01,75.25
Alabama,Flu,2021-04-01,69.66
Alabama,Flu,2021-05-01,50.46
Alabama,Flu,2021-06-01,67.09
Alabama,Flu,2021-07-01,65.94
Alabama,Flu,2021-08-01,57.12
Alabama,Flu,2021-09-01,48.52
Alabama,Flu,2021-10-01,61.58
Alabama,Flu,2021-11-01,57.64
Alabama,Flu,2021-12-01,48.18
Alabama,Flu,2022-01-01,62.89
Alabama,Flu,2022-02-01,80.01
Alabama,Flu,2022-03-01,86.54
Alabama,Flu,2022-04-01,80.2
Alabama,Flu,2022-05-01,76.0
Alabama,Flu,2022-06-01,78.99
Alabama,Flu,2022-07-01,60.04
Alabama,Flu,2022-08-01,75.01
Alabama,Flu,2022-09-01,53.48
Alabama,Flu,2022-10-01,78.91
Alabama,Flu,2022-11-01,82.69
Alabama,Flu,2022-12-01,66.28
Alabama,Flu,2023-01-01,79.73
Alabama,Flu,2023-02-01,67.55
Alabama,Flu,2023-03-01,77.07
Alabama,Flu,2023-04-01,78.86
Alabama,Flu,2023-05-01,100.64
Alabama,Flu,2023-06-01,76.61
Alabama,Flu,2023-07-01,71.05
Alabama,Flu,2023-08-01,73.24
Alabama,Flu,2023-09-01,62.27
Alabama,Flu,2023-10-01,60.5
Alabama,Flu,2023-11-01,65.73
Alabama,Flu,2023-12-01,52.73
Alabama,Flu,2024-01-01,71.88
Alabama,Flu,2024-02-01,65.46
Alabama,Flu,2024-03-01,67.95
Alabama,Flu,2024-04-01,96.92
Alabama,Flu,2024-05-01,77.57
Alabama,Flu,2024-06-01,98.63
Alabama,Flu,2024-07-01,89.66
Alabama,Flu,2024-08-01,76.2
Alabama,Flu,2024-09-01,78.02
Alabama,Flu,2024-10-01,88.21
Alabama,Flu,2024-11-01,65.5
Alabama,Flu,2024-12-01,89.57
Alabama,Covid,2020-01-01,80.66
Alabama,Covid,2020-02-01,57.45
Alabama,Covid,2020-03-01,74.35
Alabama,Covid,2020-04-01,71.86
Alabama,Covid,2020-05-01,79.33
Alabama,Covid,2020-06-01,64.81
Alabama,Covid,2020-07-01,61.84
Alabama,Covid,2020-08-01,55.78
Alabama,Covid,2020-09-01,57.11
