state,date,value
Alabama,2020-01-01,0.44
Alabama,2020-02-01,0.07
Alabama,2020-03-01,0.12
Alabama,2020-04-01,0.13
Alabama,2020-05-01,0.31
Alabama,2020-06-01,0.85
Alabama,2020-07-01,0.16
Alabama,2020-08-01,0.38
Alabama,2020-09-01,0.76
Alabama,2020-10-01,0.19
Alabama,2020-11-01,0.39
Alabama,2020-12-01,0.85
Alabama,2021-01-01,0.64
Alabama,2021-02-01,0.22
Alabama,2021-03-01,0.19
Alabama,2021-04-01,0.51
Alabama,2021-05-01,0.44
Alabama,2021-06-01,0.06
Alabama,2021-07-01,0.94
Alabama,2021-08-01,0.16
Alabama,2021-09-01,0.32
Alabama,2021-10-01,0.86
Alabama,2021-11-01,0.83
Alabama,2021-12-01,0.33
Alabama,2022-01-01,0.54
Alabama,2022-02-01,0.97
Alabama,2022-03-01,0.29
Alabama,2022-04-01,0.44
Alabama,2022-05-01,0.62
Alabama,2022-06-01,0.46
Alabama,2022-07-01,0.79
Alabama,2022-08-01,0.26
Alabama,2022-09-01,0.12
Alabama,2022-10-01,0.17
Alabama,2022-11-01,0.67
Alabama,2022-12-01,0.64
Alabama,2023-01-01,0.17
Alabama,2023-02-01,0.37
Alabama,2023-03-01,0.04
Alabama,2023-04-01,0.37
Alabama,2023-05-01,0.35
Alabama,2023-06-01,0.53
Alabama,2023-07-01,0.21
Alabama,2023-08-01,0.41
Alabama,2023-09-01,0.24
Alabama,2023-10-01,0.93
Alabama,2023-11-01,0.82
Alabama,2023-12-01,0.36
Alabama,2024-01-01,0.51
Alabama,2024-02-01,0.85
Alabama,2024-03-01,0.39
Alabama,2024-04-01,0.37
Alabama,2024-05-01,0.61
Alabama,2024-06-01,0.26
Alabama,2024-07-01,0.48
Alabama,2024-08-01,0.71
Alabama,2024-09-01,0.6
Alabama,2024-10-01,0.43
Alabama,2024-11-01,0.82
Alabama,2024-12-01,0.04
Alaska,2020-01-01,0.93
Alaska,2020-02-01,0.49
Alaska,2020-03-01,0.42
Alaska,2020-04-01,0.55
Alaska,2020-05-01,0.6
Alaska,2020-06-01,0.15
Alaska,2020-07-01,0.32
Alaska,2020-08-01,0.09
Alaska,2020-09-01,0.91
Alaska,2020-10-01,0.52
Alaska,2020-11-01,0.24
Alaska,2020-12-01,0.18
Alaska,2021-01-01,0.27
Alaska,2021-02-01,0.33
Alaska,2021-03-01,0.74
Alaska,2021-04-01,0.48
Alaska,2021-05-01,0.91
Alaska,2021-06-01,0.37
Alaska,2021-07-01,0.02
Alaska,2021-08-01,0.87
Alaska,2021-09-01,0.66
Alaska,2021-10-01,0.03
Alaska,2021-11-01,0.68
Alaska,2021-12-01,0.32
Alaska,2022-01-01,0.52
Alaska,2022-02-01,0.12
Alaska,2022-03-01,0.64
Alaska,2022-04-01,0.92
Alaska,2022-05-01,0.31
Alaska,2022-06-01,0.46
Alaska,2022-07-01,0.24
Alaska,2022-08-01,0.77
Alaska,2022-09-01,0.75
Alaska,2022-10-01,0.62
Alaska,2022-11-01,0.71
Alaska,2022-12-01,0.81
Alaska,2023-01-01,0.43
Alaska,2023-02-01,0.33
Alaska,2023-03-01,0.49
Alaska,2023-04-01,0.47
Alaska,2023-05-01,0.4
Alaska,2023-06-01,0.05
Alaska,2023-07-01,0.15
Alaska,2023-08-01,0.93
Alaska,2023-09-01,0.66
Alaska,2023-10-01,0.89
Alaska,2023-11-01,0.45
Alaska,2023-12-01,0.84
Alaska,2024-01-01,0.87
Alaska,2024-02-01,0.41
Alaska,2024-03-01,0.74
Alaska,2024-04-01,0.26
Alaska,2024-05-01,0.01
Alaska,2024-06-01,0.28
Alaska,2024-07-01,0.87
Alaska,2024-08-01,0.64
Alaska,2024-09-01,0.55
Alaska,2024-10-01,0.32
Alaska,2024-11-01,0.88
Alaska,2024-12-01,0.07
Arizona,2020-01-01,0.94
Arizona,2020-02-01,0.88
Arizona,2020-03-01,0.07
Arizona,2020-04-01,0.72
Arizona,2020-05-01,0.39
Arizona,2020-06-01,0.47
Arizona,2020-07-01,0.59
Arizona,2020-08-01,0.89
Arizona,2020-09-01,0.84
Arizona,2020-10-01,0.69
Arizona,2020-11-01,0.11
Arizona,2020-12-01,0.72
Arizona,2021-01-01,0.42
Arizona,2021-02-01,0.78
Arizona,2021-03-01,0.35
Arizona,2021-04-01,0.56
Arizona,2021-05-01,0.71
Arizona,2021-06-01,0.39
Arizona,2021-07-01,0.87
Arizona,2021-08-01,0.04
Arizona,2021-09-01,0.66
Arizona,2021-10-01,0.99
Arizona,2021-11-01,0.44
Arizona,2021-12-01,0.8
Arizona,2022-01-01,0.73
Arizona,2022-02-01,0.12
Arizona,2022-03-01,0.39
Arizona,2022-04-01,0.04
Arizona,2022-05-01,0.5
Arizona,2022-06-01,0.96
Arizona,2022-07-01,0.52
Arizona,2022-08-01,0.42
Arizona,2022-09-01,0.49
Arizona,2022-10-01,0.81
Arizona,2022-11-01,0.18
Arizona,2022-12-01,0.25
Arizona,2023-01-01,0.22
Arizona,2023-02-01,0.56
Arizona,2023-03-01,0.98
Arizona,2023-04-01,0.06
Arizona,2023-05-01,0.14
Arizona,2023-06-01,0.82
Arizona,2023-07-01,0.22
Arizona,2023-08-01,0.0
Arizona,2023-09-01,0.15
Arizona,2023-10-01,0.41
Arizona,2023-11-01,0.76
Arizona,2023-12-01,0.12
Arizona,2024-01-01,0.98
Arizona,2024-02-01,0.7
Arizona,2024-03-01,0.81
Arizona,2024-04-01,0.89
Arizona,2024-05-01,0.61
Arizona,2024-06-01,0.51
Arizona,2024-07-01,0.59
Arizona,2024-08-01,0.63
Arizona,2024-09-01,0.38
Arizona,2024-10-01,0.25
Arizona,2024-11-01,0.03
Arizona,2024-12-01,0.68
Arkansas,2020-01-01,0.61
Arkansas,2020-02-01,0.84
Arkansas,2020-03-01,0.42
Arkansas,2020-04-01,0.94
Arkansas,2020-05-01,0.81
Arkansas,2020-06-01,0.55
Arkansas,2020-07-01,0.52
Arkansas,2020-08-01,0.65
Arkansas,2020-09-01,0.67
Arkansas,2020-10-01,0.62
Arkansas,2020-11-01,0.25
Arkansas,2020-12-01,0.32
Arkansas,2021-01-01,0.94
Arkansas,2021-02-01,0.83
Arkansas,2021-03-01,0.6
Arkansas,2021-04-01,0.36
Arkansas,2021-05-01,0.05
Arkansas,2021-06-01,0.97
Arkansas,2021-07-01,0.15
Arkansas,2021-08-01,0.52
Arkansas,2021-09-01,0.02
Arkansas,2021-10-01,0.46
Arkansas,2021-11-01,0.46
Arkansas,2021-12-01,0.16
Arkansas,2022-01-01,0.95
Arkansas,2022-02-01,0.61
Arkansas,2022-03-01,0.89
Arkansas,2022-04-01,0.26
Arkansas,2022-05-01,0.44
Arkansas,2022-06-01,0.64
Arkansas,2022-07-01,0.85
Arkansas,2022-08-01,0.53
Arkansas,2022-09-01,0.09
Arkansas,2022-10-01,0.02
Arkansas,2022-11-01,0.08
Arkansas,2022-12-01,0.84
Arkansas,2023-01-01,0.44
Arkansas,2023-02-01,0.55
Arkansas,2023-03-01,0.23
Arkansas,2023-04-01,0.31
Arkansas,2023-05-01,0.05
Arkansas,2023-06-01,0.15
Arkansas,2023-07-01,0.5
Arkansas,2023-08-01,0.7
Arkansas,2023-09-01,0.74
Arkansas,2023-10-01,0.62
Arkansas,2023-11-01,0.29
Arkansas,2023-12-01,0.73
Arkansas,2024-01-01,0.41
Arkansas,2024-02-01,0.17
Arkansas,2024-03-01,0.54
Arkansas,2024-04-01,0.7
Arkansas,2024-05-01,0.23
Arkansas,2024-06-01,0.78
Arkansas,2024-07-01,0.45
Arkansas,2024-08-01,0.26
Arkansas,2024-09-01,0.28
Arkansas,2024-10-01,0.16
Arkansas,2024-11-01,0.89
Arkansas,2024-12-01,0.96
California,2020-01-01,0.89
California,2020-02-01,0.83
California,2020-03-01,0.39
California,2020-04-01,0.75
California,2020-05-01,0.33
California,2020-06-01,0.76
California,2020-07-01,0.21
California,2020-08-01,0.22
California,2020-09-01,0.15
California,2020-10-01,0.74
California,2020-11-01,0.69
California,2020-12-01,0.18
California,2021-01-01,0.17
California,2021-02-01,0.57
California,2021-03-01,0.69
California,2021-04-01,0.08
California,2021-05-01,0.15
California,2021-06-01,0.86
California,2021-07-01,0.02
California,2021-08-01,0.7
California,2021-09-01,0.31
California,2021-10-01,0.67
California,2021-11-01,0.16
California,2021-12-01,0.53
California,2022-01-01,0.54
California,2022-02-01,0.12
California,2022-03-01,0.29
California,2022-04-01,0.31
California,2022-05-01,0.39
California,2022-06-01,0.66
California,2022-07-01,0.57
California,2022-08-01,0.33
California,2022-09-01,0.57
California,2022-10-01,0.85
California,2022-11-01,0.42
California,2022-12-01,0.47
California,2023-01-01,0.89
California,2023-02-01,0.75
California,2023-03-01,0.76
California,2023-04-01,0.74
California,2023-05-01,0.69
California,2023-06-01,0.2
California,2023-07-01,0.07
California,2023-08-01,0.6
California,2023-09-01,0.77
California,2023-10-01,0.12
California,2023-11-01,0.62
California,2023-12-01,0.32
California,2024-01-01,0.92
California,2024-02-01,0.71
California,2024-03-01,0.65
California,2024-04-01,0.3
California,2024-05-01,0.36
California,2024-06-01,0.67
California,2024-07-01,0.21
California,2024-08-01,0.09
California,2024-09-01,0.97
California,2024-10-01,0.92
California,2024-11-01,0.41
California,2024-12-01,0.53
Colorado,2020-01-01,0.4
Colorado,2020-02-01,0.65
Colorado,2020-03-01,0.49
Colorado,2020-04-01,0.92
Colorado,2020-05-01,0.24
Colorado,2020-06-01,0.04
Colorado,2020-07-01,0.16
Colorado,2020-08-01,0.6
Colorado,2020-09-01,0.53
Colorado,2020-10-01,0.48
Colorado,2020-11-01,0.76
Colorado,2020-12-01,0.66
Colorado,2021-01-01,0.97
Colorado,2021-02-01,0.76
Colorado,2021-03-01,0.79
Colorado,2021-04-01,0.82
Colorado,2021-05-01,0.46
Colorado,2021-06-01,0.23
Colorado,2021-07-01,0.89
Colorado,2021-08-01,0.94
Colorado,2021-09-01,0.87
Colorado,2021-10-01,0.24
Colorado,2021-11-01,0.11
Colorado,2021-12-01,0.13
Colorado,2022-01-01,0.98
Colorado,2022-02-01,0.03
Colorado,2022-03-01,0.56
Colorado,2022-04-01,0.21
Colorado,2022-05-01,0.85
Colorado,2022-06-01,0.19
Colorado,2022-07-01,0.61
Colorado,2022-08-01,0.08
Colorado,2022-09-01,0.76
Colorado,2022-10-01,0.43
Colorado,2022-11-01,0.12
Colorado,2022-12-01,0.22
Colorado,2023-01-01,0.34
Colorado,2023-02-01,0.83
Colorado,2023-03-01,0.95
Colorado,2023-04-01,0.35
Colorado,2023-05-01,0.02
Colorado,2023-06-01,0.7
Colorado,2023-07-01,0.33
Colorado,2023-08-01,0.23
Colorado,2023-09-01,0.4
Colorado,2023-10-01,0.77
Colorado,2023-11-01,0.16
Colorado,2023-12-01,0.03
Colorado,2024-01-01,0.35
Colorado,2024-02-01,0.76
Colorado,2024-03-01,0.54
Colorado,2024-04-01,0.93
Colorado,2024-05-01,0.22
Colorado,2024-06-01,0.76
Colorado,2024-07-01,0.72
Colorado,2024-08-01,0.4
Colorado,2024-09-01,0.37
Colorado,2024-10-01,0.4
Colorado,2024-11-01,0.04
Colorado,2024-12-01,0.23
Connecticut,2020-01-01,0.66
Connecticut,2020-02-01,0.14
Connecticut,2020-03-01,0.72
Connecticut,2020-04-01,0.13
Connecticut,2020-05-01,0.36
Connecticut,2020-06-01,0.38
Connecticut,2020-07-01,0.4
Connecticut,2020-08-01,0.05
Connecticut,2020-09-01,0.78
Connecticut,2020-10-01,0.77
Connecticut,2020-11-01,0.95
Connecticut,2020-12-01,0.11
Connecticut,2021-01-01,0.15
Connecticut,2021-02-01,0.13
Connecticut,2021-03-01,0.45
Connecticut,2021-04-01,0.58
Connecticut,2021-05-01,0.85
Connecticut,2021-06-01,0.74
Connecticut,2021-07-01,0.53
Connecticut,2021-08-01,0.74
Connecticut,2021-09-01,0.53
Connecticut,2021-10-01,0.11
Connecticut,2021-11-01,0.55
Connecticut,2021-12-01,0.73
Connecticut,2022-01-01,0.45
Connecticut,2022-02-01,0.33
Connecticut,2022-03-01,0.73
Connecticut,2022-04-01,0.23
Connecticut,2022-05-01,0.27
Connecticut,2022-06-01,0.62
Connecticut,2022-07-01,0.28
Connecticut,2022-08-01,0.26
Connecticut,2022-09-01,0.66
Connecticut,2022-10-01,0.05
Connecticut,2022-11-01,0.67
Connecticut,2022-12-01,0.68
Connecticut,2023-01-01,0.39
Connecticut,2023-02-01,0.31
Connecticut,2023-03-01,0.1
Connecticut,2023-04-01,0.49
Connecticut,2023-05-01,0.54
Connecticut,2023-06-01,0.36
Connecticut,2023-07-01,0.92
Connecticut,2023-08-01,0.15
Connecticut,2023-09-01,0.04
Connecticut,2023-10-01,0.48
Connecticut,2023-11-01,0.85
Connecticut,2023-12-01,0.6
Connecticut,2024-01-01,0.08
Connecticut,2024-02-01,0.6
Connecticut,2024-03-01,0.33
Connecticut,2024-04-01,0.61
Connecticut,2024-05-01,0.08
Connecticut,2024-06-01,0.58
Connecticut,2024-07-01,0.69
Connecticut,2024-08-01,0.43
Connecticut,2024-09-01,0.96
Connecticut,2024-10-01,0.35
Connecticut,2024-11-01,0.43
Connecticut,2024-12-01,0.64
Delaware,2020-01-01,0.78
Delaware,2020-02-01,0.33
Delaware,2020-03-01,0.38
Delaware,2020-04-01,0.01
Delaware,2020-05-01,0.45
Delaware,2020-06-01,0.69
Delaware,2020-07-01,0.07
Delaware,2020-08-01,0.16
Delaware,2020-09-01,0.8
Delaware,2020-10-01,0.27
Delaware,2020-11-01,0.06
Delaware,2020-12-01,0.12
Delaware,2021-01-01,0.82
Delaware,2021-02-01,0.5
Delaware,2021-03-01,0.66
Delaware,2021-04-01,0.8
Delaware,2021-05-01,0.6
Delaware,2021-06-01,0.72
Delaware,2021-07-01,0.32
Delaware,2021-08-01,0.75
Delaware,2021-09-01,0.35
Delaware,2021-10-01,0.77
Delaware,2021-11-01,0.99
Delaware,2021-12-01,0.67
Delaware,2022-01-01,0.81
Delaware,2022-02-01,0.78
Delaware,2022-03-01,0.87
Delaware,2022-04-01,0.98
Delaware,2022-05-01,0.98
Delaware,2022-06-01,0.19
Delaware,2022-07-01,0.05
Delaware,2022-08-01,0.08
Delaware,2022-09-01,0.76
Delaware,2022-10-01,0.37
Delaware,2022-11-01,0.49
Delaware,2022-12-01,0.25
Delaware,2023-01-01,0.91
Delaware,2023-02-01,0.88
Delaware,2023-03-01,0.56
Delaware,2023-04-01,0.96
Delaware,2023-05-01,0.28
Delaware,2023-06-01,0.32
Delaware,2023-07-01,0.03
Delaware,2023-08-01,0.46
Delaware,2023-09-01,0.97
Delaware,2023-10-01,0.4
Delaware,2023-11-01,0.95
Delaware,2023-12-01,0.84
Delaware,2024-01-01,0.3
Delaware,2024-02-01,0.32
Delaware,2024-03-01,0.85
Delaware,2024-04-01,0.33
Delaware,2024-05-01,0.58
Delaware,2024-06-01,0.11
Delaware,2024-07-01,0.25
Delaware,2024-08-01,0.77
Delaware,2024-09-01,0.02
Delaware,2024-10-01,0.56
Delaware,2024-11-01,0.79
Delaware,2024-12-01,0.73
Florida,2020-01-01,0.31
Florida,2020-02-01,0.57
Florida,2020-03-01,0.77
Florida,2020-04-01,0.75
Florida,2020-05-01,0.1
Florida,2020-06-01,0.4
Florida,2020-07-01,0.47
Florida,2020-08-01,0.67
Florida,2020-09-01,0.37
Florida,2020-10-01,0.75
Florida,2020-11-01,0.74
Florida,2020-12-01,0.17
Florida,2021-01-01,1.0
Florida,2021-02-01,0.68
Florida,2021-03-01,0.08
Florida,2021-04-01,0.29
Florida,2021-05-01,0.77
Florida,2021-06-01,0.16
Florida,2021-07-01,0.21
Florida,2021-08-01,0.53
Florida,2021-09-01,0.18
Florida,2021-10-01,0.58
Florida,2021-11-01,0.29
Florida,2021-12-01,0.36
Florida,2022-01-01,0.98
Florida,2022-02-01,0.84
Florida,2022-03-01,0.38
Florida,2022-04-01,0.63
Florida,2022-05-01,0.69
Florida,2022-06-01,0.48
Florida,2022-07-01,0.38
Florida,2022-08-01,0.29
Florida,2022-09-01,0.6
Florida,2022-10-01,0.58
Florida,2022-11-01,0.19
Florida,2022-12-01,0.18
Florida,2023-01-01,0.63
Florida,2023-02-01,0.14
Florida,2023-03-01,0.83
Florida,2023-04-01,0.08
Florida,2023-05-01,0.82
Florida,2023-06-01,0.61
Florida,2023-07-01,0.73
Florida,2023-08-01,0.28
Florida,2023-09-01,0.32
Florida,2023-10-01,0.32
