state,date,value,disease
Alabama,2020-01-01,0.02,Flu
Alabama,2020-02-01,0.17,Flu
Alabama,2020-03-01,0.51,Flu
Alabama,2020-04-01,0.91,Flu
Alabama,2020-05-01,0.85,Flu
Alabama,2020-06-01,1.0,Flu
Alabama,2020-07-01,0.96,Flu
Alabama,2020-08-01,0.95,Flu
Alabama,2020-09-01,0.61,Flu
Alabama,2020-10-01,0.69,Flu
Alabama,2020-11-01,0.33,Flu
Alabama,2020-12-01,0.23,Flu
Alabama,2021-01-01,0.52,Flu
Alabama,2021-02-01,0.6,Flu
Alabama,2021-03-01,0.08,Flu
Alabama,2021-04-01,0.55,Flu
Alabama,2021-05-01,0.84,Flu
Alabama,2021-06-01,0.1,Flu
Alabama,2021-07-01,0.22,Flu
Alabama,2021-08-01,0.09,Flu
Alabama,2021-09-01,0.77,Flu
Alabama,2021-10-01,0.01,Flu
Alabama,2021-11-01,0.89,Flu
Alabama,2021-12-01,0.74,Flu
Alabama,2022-01-01,0.88,Flu
Alabama,2022-02-01,0.02,Flu
Alabama,2022-03-01,0.83,Flu
Alabama,2022-04-01,0.17,Flu
Alabama,2022-05-01,0.97,Flu
Alabama,2022-06-01,0.29,Flu
Alabama,2022-07-01,0.0,Flu
Alabama,2022-08-01,0.39,Flu
Alabama,2022-09-01,0.45,Flu
Alabama,2022-10-01,0.03,Flu
Alabama,2022-11-01,0.04,Flu
Alabama,2022-12-01,0.14,Flu
Alabama,2023-01-01,0.95,Flu
Alabama,2023-02-01,0.07,Flu
Alabama,2023-03-01,0.57,Flu
Alabama,2023-04-01,0.53,Flu
Alabama,2023-05-01,0.69,Flu
Alabama,2023-06-01,0.27,Flu
Alabama,2023-07-01,0.41,Flu
Alabama,2023-08-01,0.83,Flu
Alabama,2023-09-01,0.93,Flu
Alabama,2023-10-01,0.23,Flu
Alabama,2023-11-01,0.73,Flu
Alabama,2023-12-01,0.42,Flu
Alabama,2024-01-01,0.6,Flu
Alabama,2024-02-01,0.66,Flu
Alabama,2024-03-01,0.62,Flu
Alabama,2024-04-01,0.09,Flu
Alabama,2024-05-01,0.46,Flu
Alabama,2024-06-01,0.1,Flu
Alabama,2024-07-01,0.27,Flu
Alabama,2024-08-01,0.95,Flu
